,menus.description,menus.name
1,"Beef barbacoa or chicken, spanish rice, pico de gallo, monterey jack, topped with green chile sauce and roasted pepper salad served with charro beans",Burrito
6,Cabo style or caesar style.,Burrito
7,"Black beans, rice, jack cheese, onions, cilantro and spicy chipotle  sauce.  choice of chicken, pork carnitas, steak, wahoo or shrimp",Burrito
8,"Black or pinto beans, rice, cilantro and onions.  choice of chicken, pork carnitas, steak, wahoo or shrimp.",Burrito
9,"Melted jack cheese, guacamole and pico de gallo.  choice of chicken, pork carnitas, steak, wahoo or shrimp.",Burrito
10,"Potatoes, onion, peppers, mushroom, avocado, black beans and choice of chile",Burrito
11,"Grilled tofu, potatoes and your choice of chile topped with garnish",Burrito
13,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
15,"Black beans, corn and black bean salsa, guacamole, queso cheese sauce, rice, tortilla strips",Burrito
16,"Black beans, jasmine rice and peanut slaw",Burrito
17,"Black beans, cheddar, salsa, rice, sour cream, lettuce, tomato, cilantro and scallion",Burrito
18,"Black beans, cheddar, salsa and rice",Burrito
19,Burrito plate smothered with enchilada sauce and cheese,Burrito
20,Super burrito smothered with enchilada sauce and cheese.,Burrito
21,"Rice, beans, cheese",Burrito
22,Super vegetarian smothered with enchilada sauce and cheese.,Burrito
23,Regular burrito smothered with enchilada sauce and cheese.,Burrito
26,"Rice, beans, cactus, cheese, sour cream, guacamole and salsa.",Burrito
27,"Rice, beans, grilled vegetables, cheese, sour cream, guacamole and salsa.",Burrito
28,Cactus burrito smothered with enchilada sauce and cheese.,Burrito
29,Vegetarian burrito smothered with enchilada sauce and cheese.,Burrito
30,"Choice of filling, beans, rice and salsa.",Burrito
31,Child burrito smothered with enchilada sauce and cheese.,Burrito
32,"Rice, beans, cheese, sour cream, guacamole, lettuce, salsa.",Burrito
33,"Rice, beans, grilled vegetables and salsa.",Burrito
34,"Choice of filling, rice, beans, salsa, sour cream, and cheese.",Burrito
42,"12 burritos cut in half, rice, beans, cheese, sour cream, salsa, with chips, and salsa.",Burrito
43,"12 burritos cut half, rice, cheese, sour cream, salsa, with chips and salsa.",Burrito
45,"Marinated charbroiled fish, cheese, colorado beans, rice, chipotle sauce, and salsa.",Burrito
46,"Choice of meat, or vegetarian baked with red sauce, salsa, and melted cheese.",Burrito
48,"Filled with your choice of meat cheese, rice, beans, sour cream, and salsa.",Burrito
50,"Marinated charbroiled fish, cheese, colorado beans, rice, chipotle sauce, and salsa.",Burrito
51,"Filled with tomatoes, onions, corn, pacilla chile, cheese, chipotle sauce, served with guacamole, and sour cream.",Burrito
52,"Lean pork cooked with chile verde sauce, rice, sour cream, cheese, and salsa.",Burrito
53,"Marinated charbroiled 6 shrimp, rice, cheese, chipotle sauce, and salsa.",Burrito
54,"Sauteed chicken, vegetables, rice, chipotle sauce, and salsa.",Burrito
55,"Roasted sirloin pork, cheese, beans, rice, and salsa.",Burrito
56,"Filled with your choice of meat or vegetarian, fresh salsa, baked with red sauce and cheese.",Burrito
57,"Filled with your choice of meat, sour cream, rice, cheese, and salsa.",Burrito
58,"Filled with sauteed vegetables, colorado beans, rice, avocado, and salsa.",Burrito
59,Your choice of colorado or refried beans.,Burrito
65,"12 burritos cut half, rice, cheese, sour cream, salsa, with chips and salsa.",Burrito
66,"Filled with your choice of meat, sour cream, rice, cheese, and salsa.",Burrito
72,"Choice of meat, or vegetarian baked with red sauce, salsa, and melted cheese.",Burrito
73,"Filled with your choice of meat or vegetarian, fresh salsa, baked with red sauce and cheese.",Burrito
74,"12 burritos cut in half, rice, beans, cheese, sour cream, salsa, with chips, and salsa.",Burrito
75,"Filled with your choice of meat cheese, rice, beans, sour cream, and salsa.",Burrito
76,"Marinated charbroiled fish, cheese, colorado beans, rice, chipotle sauce, and salsa.",Burrito
77,"Marinated charbroiled fish, cheese, colorado beans, rice, chipotle sauce, and salsa.",Burrito
78,"Filled with tomatoes, onions, corn, pacilla chile, cheese, chipotle sauce, served with guacamole, and sour cream.",Burrito
79,"Filled with sauteed vegetables, colorado beans, rice, avocado, and salsa.",Burrito
81,"Sauteed chicken, vegetables, rice, chipotle sauce, and salsa.",Burrito
84,"Lean pork cooked with chile verde sauce, rice, sour cream, cheese, and salsa.",Burrito
85,"Marinated charbroiled 6 shrimp, rice, cheese, chipotle sauce, and salsa.",Burrito
86,Your choice of colorado or refried beans.,Burrito
87,"Roasted sirloin pork, cheese, beans, rice, and salsa.",Burrito
88,"Scrambled eggs. Sausage. Bell peppers, potatoes, mixed cheeses and tomato salsa. With homefries",Burrito
89,"Our own casa maya salad with your choice of grilled chicken, steak or pork wrapped in a warm flour tortilla with our soup of the day",Burrito
90,"Flour tortilla, scrambled eggs, cheddar, potatoes, onions, peppers, pulled pork verde",Burrito
91,"Flour Tortilla, Scrambled Eggs, Cheddar, Potatoes, Onions, Peppers, Pulled Pork Verde",Burrito
92,"Spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all Wrapped in a soft tortilla.",Burrito
