,menus.description,menus.name
0,"Beef, onion, cheddar cheese, lettuce,  refried beans,  fresh tomato, and taco sauce.",Taco
2,"Wahoo, avocado, cabbage, pico de gallo  and avocado salsa.",Taco
3,"Hand breaded fried wahoo, topped with   cabbage, pico de gallo and tangy salsa",Taco
4,"Any combination of two original baja or americano soft  tacos. served with rice and black or pinto beans. choice  of chicken, pork carnitas, steak, wahoo or shrimp.",Taco
5,"Grilled corn tortillas with salsa, onions and cilantro.  choice of chicken, pork carnitas, steak or shrimp.",Taco
12,"lettuce, chihuahua cheese, black beans, mexican rice, pico de gallo, guacamole, sour cream, in a large crispy tortilla shell",Taco
14,"Crispy house-smoked pork belly, hoisin sauce, house-made kimchi, chili mayo, cabbage, scallion and cilantro",Taco
24,"Rice, beans and salsa",Taco
25,"Rice, beans and salsa",Taco
35,"Choice of filling, lettuce, cheese and salsa",Taco
36,"Choice of filling, beans and salsa",Taco
37,"Seasoned taco meat, lettuce, tomato, shredded colby, onions, olives, and salsa ranch, wrapped up in a sun dried tomato flour tortilla",Taco
38,"Seasoned taco meat, lettuce, tomato, shredded colby, onions, olives, and salsa ranch, wrapped up in a sun dried tomato flour tortilla",Taco
39,Served with rice salad cajun fish of the day or shrimp,Taco
40,"Pepper tuna, pepper white tuna, spicy crab meat and avocado with special crunch and balsamic vinegar sauce",Taco
41,"Blackened white fish topped with pico de gallo, cabbage and a chipotle sauce inside a flour tortilla.",Taco
44,"Sauteed chicken, vegetables, and guacamole.",Taco
47,"Two soft tacos, choice of meat or vegetarian.",Taco
49,"Choice of chicken, steak, or vegetarian taco.",Taco
60,"Soft corn tortilla, 3 charbroiled shrimp, cabbage, chipotles sauce, cheese, onion, and cilantro.",Taco
61,"Charbroiled fish, chipotle sauce, onion, cilantro, cabbage, and salsa.",Taco
62,"Charbroiled steak, onions, cilantro, beans, cabbage, and salsa.",Taco
63,"Charbroiled chicken, onion, cilantro, beans, cabbage, and salsa.",Taco
64,"Roasted pork, cabbage, cilantro, onion, beans, and salsa.",Taco
67,"Charbroiled chicken, onion, cilantro, beans, cabbage, and salsa.",Taco
68,"Charbroiled fish, chipotle sauce, onion, cilantro, cabbage, and salsa.",Taco
69,"Charbroiled steak, onions, cilantro, beans, cabbage, and salsa.",Taco
70,"Soft corn tortilla, 3 charbroiled shrimp, cabbage, chipotles sauce, cheese, onion, and cilantro.",Taco
71,"Roasted pork, cabbage, cilantro, onion, beans, and salsa.",Taco
80,"Sauteed chicken, vegetables, and guacamole.",Taco
82,"Choice of chicken, steak, or vegetarian taco.",Taco
83,"Two soft tacos, choice of meat or vegetarian.",Taco
93,"Large salsa, pizza cheese, hamburger, hot peppers, lettuce and sour cream.",Taco
94,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco
95,Lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Taco
97,"Shaved romaine, guacamole, pico, cheddar, yellow rice, grilled jalapeno",Taco
100,"Shredded beef or chicken, ground beef. plate or bowl",Taco
102,"Two corn torillas stuffed with your choice of meat, cilantro, onions, topped with sour cream and spicy salsa. served with spanish rice and refried beans",Taco
104,"Soft or crispy corn or flour tortill. carnitas, carne asada, barbacoa or adobada, grilled chicken or lengua (beef tongue) , shredded beef or chicken",Taco
106,"Grilled steak or slow roasted pork, pico de 2allo, pickled ialapenos, shredded cabbage, salsa, black beans",Taco
107,"Panko breaded tilapia, romaine leaf, pico de 2 allo, asiaao cheese, green salad",Taco
108,"Portabella, poblano, pico de 2allo, queso fresco, green salad",Taco
110,"Blackened white fish topped with pico de gallo, cabbage and a chipotle sauce inside a flour tortilla.",Taco
112,"(1) Grilled Shrimp, (1) Carne Asada And (1) Grilled Lobster Taco With Melted Jack Cheese, Salsa Fresca, Sliced Avocado, Cotija Cheese And Kick Ass Cilantro Sauce",Taco
113,"Seasoned Lobster With Jack Cheese. Fajita Style Peppers And Onions, Tortilla Strips, Black Beans, Sliced Avocado, Salsa Fresca, Cotija Cheese, Soy Sauce Reduction And Spicy Sriracha Cream Sauce",Taco
