zip,pcapita
601,7041
602,8978
603,10897
606,5960
610,9266
612,10283
616,9002
617,8762
622,11935
623,9101
624,8072
627,9738
631,7690
637,9158
638,8108
641,8305
646,15397
647,7058
650,7698
652,11439
653,7279
656,8327
659,10360
660,11588
662,8883
664,7134
667,7256
669,8236
670,7293
674,10520
676,7893
677,10236
678,9103
680,10277
682,11236
683,9547
685,8080
687,8816
688,8636
690,10644
692,10586
693,10209
694,7647
698,8139
703,10235
704,7585
705,10172
707,8761
714,7685
715,7579
716,13034
717,9711
718,10107
719,9006
720,7326
723,8723
725,12575
727,15666
728,9181
729,11066
730,10834
731,9432
735,11580
736,12391
738,11081
739,11107
740,7125
741,9385
745,10927
751,8951
754,10482
757,10478
765,11211
766,10406
767,8668
769,10328
771,10254
772,7516
773,10434
775,11291
777,9220
778,16622
780,14409
782,6996
783,7823
784,9317
786,13990
791,11926
794,7702
795,10164
901,27466
906,70076
907,38603
909,15141
911,28595
912,15777
913,7158
915,9136
917,13829
918,20852
920,14906
921,12707
923,10907
924,12558
925,10804
926,22687
927,25107
934,N
936,8875
949,12924
950,-
951,-
952,8998
953,14360
956,12226
957,13000
959,15979
960,3972
961,16714
962,9871
965,11228
966,36677
968,43889
969,27897
971,14718
976,16208
979,29494
982,14037
983,13585
985,13531
987,16557
1001,33135
1002,27657
1003,4370
1005,35334
1007,39308
1008,33933
1009,26043
1010,39077
1011,30903
1012,37778
1013,21738
1020,30076
1022,25748
1026,30925
1027,34386
1028,38320
1029,31970
1030,33551
1031,27940
1032,37424
1033,40222
1034,36015
1035,41575
1036,39634
1037,31356
1038,39453
1039,49565
1040,22625
1050,31233
1053,31413
1054,46486
1056,33247
1057,35989
1060,36152
1062,38373
1063,3532
1066,N
1068,35289
1069,32833
1070,30342
1071,32683
1072,36574
1073,44641
1074,18494
1075,32046
1077,38002
1079,31721
1080,23355
1081,26913
1082,27830
1083,24012
1084,43879
1085,29630
1086,2892
1088,32106
1089,29344
1092,33033
1093,54538
1094,32228
1095,45406
1096,36844
1097,9161
1098,43006
1103,21340
1104,19687
1105,15259
1106,55504
1107,15178
1108,18875
1109,15703
1118,29498
1119,22681
1128,35083
1129,30597
1151,18717
1199,-
1201,30286
1220,28827
1222,39128
1223,39393
1224,22355
1225,33984
1226,34994
1229,18577
1230,37450
1235,35609
1236,32948
1237,33634
1238,33536
1240,53659
1242,29336
1243,51112
1244,41983
1245,49853
1247,24982
1253,45803
1254,67240
1255,36882
1256,29340
1257,46014
1258,46676
1259,58770
1260,28091
1262,38369
1264,49908
1266,45261
1267,33267
1270,45778
1301,30169
1330,41585
1331,27402
1337,34785
1338,24208
1339,29754
1340,29428
1341,51004
1342,41962
1343,38683
1344,28889
1346,34662
1347,27629
1349,26995
1350,27507
1351,40829
1354,38346
1355,36789
1360,33657
1364,23103
1366,35783
1367,28197
1368,32809
1370,37400
1373,38682
1375,36664
1376,25887
1378,30777
1379,28998
1420,24887
1430,33886
1431,36900
1432,42774
1434,17126
1436,31607
1438,36265
1440,25866
1450,53410
1451,60666
1452,38657
1453,30775
1460,49934
1462,41737
1463,40919
1464,31903
1467,42565
1468,38444
1469,39302
1473,43218
1474,47724
1475,29400
1501,38476
1503,48547
1504,35249
1505,46148
1506,37864
1507,39167
1510,33410
1515,36927
1516,37825
1518,39866
1519,49307
1520,43270
1521,34752
1522,44718
1523,35322
1524,34311
1525,25773
1527,37951
1529,37644
1531,37371
1532,52500
1534,40700
1535,31764
1536,44374
1537,28911
1540,31306
1541,59891
1542,39122
1543,37904
1545,45803
1550,25977
1560,45027
1561,32123
1562,31155
1564,43640
1566,44937
1568,48540
1569,35943
1570,28964
1571,30057
1581,47993
1583,28418
1585,35345
1588,32926
1590,43451
1602,34720
1603,24635
1604,26882
1605,21513
1606,34908
1607,24723
1608,14469
1609,29357
1610,16262
1611,35915
1612,40615
1701,49590
1702,29266
1718,54472
1719,55857
1720,59129
1721,52647
1730,57969
1731,27220
1740,54618
1741,87286
1742,68083
1745,41878
1746,53435
1747,40122
1748,60222
1749,39716
1752,38866
1754,46986
1756,50536
1757,36016
1760,54666
1770,75852
1772,64905
1773,103262
1775,58780
1776,75430
1778,78360
1801,39344
1803,45962
1810,63468
1821,39431
1824,51331
1826,36352
1827,57005
1830,31807
1832,32479
1833,48049
1834,38724
1835,35786
1840,18543
1841,16430
1843,21004
1844,32504
1845,51658
1850,19486
1851,24920
1852,28059
1854,20041
1860,42351
1862,35060
1863,44528
1864,52597
1867,51120
1876,41265
1879,43685
1880,44843
1886,51526
1887,46239
1890,74405
1901,18051
1902,22841
1904,35962
1905,24696
1906,36419
1907,51759
1908,57969
1913,38491
1915,43766
1921,64217
1922,45173
1923,39435
1929,51532
1930,39670
1937,8860
1938,45228
1940,53792
1944,64841
1945,64757
1949,46477
1950,54980
1951,50366
1952,32964
1960,35077
1966,43976
1969,45342
1970,35379
1982,46157
1983,54091
1984,45023
1985,58469
2019,45200
2021,50869
2025,75885
2026,47960
2030,106077
2032,56421
2035,46064
2038,48712
2043,69709
2045,48740
2047,25118
2048,48061
2050,41767
2052,69495
2053,50672
2054,45768
2056,45338
2061,58318
2062,43258
2066,54496
2067,63698
2071,33053
2072,35777
2081,48885
2090,66944
2093,48677
2108,88470
2109,100108
2110,152610
2111,50468
2113,72080
2114,77703
2115,25235
2116,96844
2118,61139
2119,21557
2120,18566
2121,18322
2122,27196
2124,26379
2125,28904
2126,24797
2127,55042
2128,26569
2129,69219
2130,47422
2131,36857
2132,46494
2134,33179
2135,37923
2136,29746
2138,53368
2139,48538
2140,57320
2141,47278
2142,86820
2143,46469
2144,55466
2145,34795
2148,29766
2149,25570
2150,23338
2151,27569
2152,39839
2155,42073
2163,34560
2169,37060
2170,38927
2171,43287
2176,49159
2180,44920
2184,40501
2186,52958
2188,40154
2189,34349
2190,41548
2191,39691
2199,104360
2203,N
2210,128703
2215,25710
2301,23384
2302,25897
2322,32011
2324,34692
2330,34361
2332,55225
2333,35012
2338,33773
2339,49009
2341,38591
2343,34198
2346,36186
2347,41947
2351,39503
2356,48268
2357,6728
2359,40887
2360,41368
2364,37695
2366,1309
2367,39378
2368,32247
2370,35556
2375,41819
2379,35499
2382,35036
2420,74349
2421,74487
2445,67261
2446,61720
2451,45244
2452,37103
2453,36637
2457,3585
2458,66281
2459,78776
2460,61840
2461,72223
2462,67438
2464,50881
2465,72185
2466,50357
2467,53414
2468,96955
2472,50078
2474,53978
2476,56965
2478,61082
2481,86459
2482,81866
2492,75482
2493,98310
2494,61665
2532,39687
2534,35629
2535,43101
2536,37537
2537,44247
2538,29027
2539,49510
2540,47140
2542,19225
2543,90910
2553,N
2554,48252
2556,55545
2557,39578
2558,37577
2559,42840
2561,26015
2562,45811
2563,43441
2564,36779
2568,37472
2571,30920
2575,46615
2576,38518
2584,N
2601,25577
2630,57700
2631,43836
2632,40368
2633,62405
2635,48393
2637,76937
2638,46941
2639,32823
2641,83958
2642,39357
2643,-
2644,33850
2645,43233
2646,37003
2647,65467
2648,37785
2649,41440
2650,38016
2651,-
2652,33112
2653,41184
2655,65047
2657,42402
2659,42638
2660,37433
2663,43583
2664,33321
2666,34001
2667,35707
2668,49540
2669,39332
2670,55973
2671,38013
2672,55492
2673,36215
2675,43051
2702,37897
2703,33965
2713,77560
2715,39143
2717,35330
2718,41172
2719,33268
2720,26180
2721,20156
2723,24087
2724,23497
2725,30103
2726,34028
2738,51781
2739,53412
2740,24027
2743,32422
2744,21193
2745,28763
2746,17671
2747,28292
2748,46974
2760,39817
2762,39956
2763,42497
2764,34990
2766,39251
2767,37523
2769,41468
2770,43564
2771,42254
2777,35286
2779,38122
2780,28371
2790,38194
2791,45115
2802,29063
2804,39302
2806,59392
2807,44400
2808,28184
2809,33102
2812,41528
2813,37262
2814,36467
2815,74355
2816,34417
2817,39446
2818,57183
2822,40182
2825,39140
2826,36766
2827,37904
2828,40544
2830,35617
2831,42108
2832,40246
2833,37158
2835,59510
2836,37944
2837,48055
2838,35870
2839,26104
2840,41475
2841,45605
2842,36678
2852,41377
2857,42434
2858,31610
2859,29496
2860,21704
2861,27972
2863,14842
2864,41483
2865,40486
2871,49553
2872,39780
2873,55134
2874,54499
2875,38191
2876,10322
2878,40680
2879,40936
2881,16705
2882,45020
2885,35725
2886,37763
2888,37281
2889,33958
2891,38456
2892,41933
2893,29465
2894,31851
2895,22747
2896,39972
2898,34598
2903,33478
2904,26703
2905,22312
2906,49733
2907,16583
2908,21720
2909,17781
2910,27500
2911,31156
2912,3735
2914,27124
2915,31552
2916,37658
2917,34329
2919,33113
2920,28856
2921,42979
3031,54818
3032,45996
3033,49953
3034,43957
3036,48760
3037,39117
3038,33182
3042,35651
3043,43770
3044,43469
3045,37334
3046,45238
3047,32867
3048,34770
3049,62606
3051,40654
3052,39418
3053,42424
3054,42470
3055,34803
3057,43935
3060,26327
3062,43440
3063,38973
3064,34190
3070,40656
3071,36821
3076,40888
3077,31248
3079,40816
3082,41615
3084,35918
3086,39427
3087,54080
3101,38938
3102,27333
3103,24134
3104,34028
3106,36819
3109,37554
3110,56516
3215,55352
3216,31725
3217,22047
3218,40127
3220,27278
3221,31108
3222,27450
3223,42059
3224,41039
3225,31298
3226,38259
3227,39405
3229,43674
3230,29542
3231,31715
3233,76408
3234,38358
3235,24913
3237,31799
3238,15589
3240,29810
3241,36770
3242,29422
3243,33564
3244,31564
3245,31934
3246,31317
3249,46353
3251,26034
3253,38311
3254,60692
3255,50005
3256,30765
3257,37851
3258,35910
3259,37157
3260,52171
3261,36540
3262,31932
3263,26943
3264,23349
3266,30118
3268,45396
3269,35708
3273,37314
3275,34255
3276,28844
3278,35778
3279,25192
3280,41491
3281,38989
3282,35682
3284,32540
3285,29719
3287,41383
3290,43629
3291,22295
3293,18998
3301,32084
3303,32009
3304,44690
3307,32207
3431,30803
3440,27732
3441,19751
3442,30072
3443,30428
3444,36458
3445,32193
3446,33542
3447,35500
3448,28812
3449,46257
3450,45964
3451,28448
3452,30064
3455,33379
3456,29234
3457,38540
3458,50787
3461,27363
3462,50675
3464,35169
3465,33735
3466,45472
3467,38504
3470,24631
3561,27278
3570,21491
3574,30408
3575,24690
3576,28545
3579,35931
3580,44411
3581,33635
3582,22409
3583,28784
3584,26131
3585,28988
3586,49534
3588,27497
3590,23117
3592,27109
3593,42720
3595,33920
3597,20349
3598,27182
3601,27861
3602,30780
3603,25347
3604,28826
3605,35133
3607,34219
3608,45484
3609,30658
3740,31998
3741,32447
3743,25157
3745,37366
3746,42436
3748,48669
3750,63650
3751,26858
3752,26398
3753,47088
3754,24772
3755,44904
3765,26229
3766,40747
3768,67552
3770,28703
3771,28138
3773,30351
3774,28973
3777,40552
3779,39374
3780,31402
3781,48476
3782,36020
3784,37084
3785,25904
3801,47868
3809,30877
3810,39565
3811,49336
3812,25344
3813,37187
3814,25905
3816,28883
3817,26678
3818,27726
3819,34596
3820,35922
3823,42961
3824,22868
3825,41201
3826,41873
3827,44890
3830,25917
3832,46889
3833,46910
3835,28605
3836,32915
3837,30165
3838,36136
3839,26458
3840,52537
3841,44706
3842,47234
3844,71248
3845,39139
3846,42086
3847,50890
3848,46758
3849,30552
3850,36765
3851,29983
3852,27400
3853,33180
3854,92842
3855,35043
3856,53753
3857,37755
3858,40544
3860,29578
3861,46789
3862,66817
3864,30829
3865,37397
3867,30003
3868,30903
3869,40736
3870,63053
3871,45093
3872,31673
3873,41544
3874,32957
3875,46403
3878,28829
3882,28464
3883,20141
3884,41539
3885,53528
3886,34234
3887,32870
3890,22692
3894,40976
3901,32005
3902,51675
3903,35670
3904,38760
3905,54076
3906,31796
3907,50524
3908,38355
3909,47102
3910,25693
3911,37925
4001,28177
4002,28496
4003,40835
4005,27151
4006,26588
4008,32904
4009,23726
4010,24674
4011,33716
4015,25969
4017,54331
4019,N
4020,32521
4021,47751
4022,27163
4024,25227
4027,25120
4029,33475
4030,29661
4032,45150
4037,19591
4038,34137
4039,35180
4040,27609
4041,20864
4042,30323
4043,48702
4046,39657
4047,26309
4048,23394
4049,23973
4050,40008
4051,29316
4055,30301
4056,20892
4057,8606
4061,28477
4062,31327
4063,39134
4064,44447
4066,49821
4068,22139
4069,35468
4071,38570
4072,32891
4073,24544
4074,43497
4076,26793
4079,51795
4083,27400
4084,31531
4085,27781
4086,33770
4087,16798
4088,27642
4090,36479
4091,25217
4092,29316
4093,34006
4095,26056
4096,49351
4097,43446
4101,28467
4102,32202
4103,33890
4105,63257
4106,33622
4107,53296
4108,46224
4109,38751
4110,97877
4210,27362
4216,25444
4217,28007
4219,24849
4220,25566
4221,22940
4222,34031
4224,18853
4226,24368
4227,27125
4228,N
4231,19650
4234,31340
4236,28886
4237,38512
4238,20024
4239,25427
4240,23776
4250,24591
4252,26507
4253,28962
4254,18501
4255,29955
4256,24163
4257,24333
4258,32657
4259,29987
4260,30160
4261,31250
4263,23165
4265,30087
4267,43593
4268,20137
4270,22424
4271,-
4274,28600
4275,24008
4276,20540
4280,27489
4281,21935
4282,30735
4284,34433
4285,30900
4286,38016
4287,28857
4289,19177
4290,26644
4292,19891
4294,24168
4330,25439
4342,30233
4343,64828
4344,28725
4345,26550
4346,27876
4347,31619
4348,22866
4349,31825
4350,33818
4351,39519
4352,28105
4353,24011
4354,37242
4355,36548
4357,27577
4358,25286
4359,22622
4360,27493
4363,25047
4364,31036
4401,28056
4406,25506
4408,23876
4410,19777
4411,31140
4412,29174
4413,22937
4414,21890
4415,16233
4416,27370
4417,20768
4418,23077
4419,25221
4421,20545
4422,19602
4424,15014
4426,25312
4427,22319
4428,27060
4429,33123
4430,22644
4431,55221
4434,21512
4435,24417
4438,22643
4441,26413
4442,16482
4443,22354
4444,38685
4448,18858
4449,24655
4450,24445
4451,20117
4453,20843
4454,6770
4455,22894
4456,25965
4457,26384
4459,21615
4460,22179
4461,24805
4462,25959
4463,17327
4464,26453
4468,24861
4469,4081
4471,26058
4472,28314
4473,25040
4474,29876
4475,22982
4476,31017
4478,24467
4479,24894
4481,23151
4485,29694
4487,16971
4488,25215
4489,21562
4490,26966
4491,19895
4492,16182
4493,25348
4495,19248
4496,29641
4497,18684
4530,32603
4535,32278
4537,40701
4538,30970
4539,30481
4541,79123
4543,32382
4544,54257
4547,27226
4548,39091
4551,28859
4553,39766
4554,33926
4555,31394
4556,34511
4558,42270
4562,45644
4563,24842
4564,42021
4568,47460
4570,-
4571,35704
